Date,Open,High,Low,Close,Volume
2019-12-11,2780,2780,2780,2780,0
2019-12-12,2780,2780,2780,2780,0
2019-12-13,2780,2780,2780,2780,0
2019-12-16,2780,2780,2780,2780,0
2019-12-17,2780,2780,2780,2780,0
2019-12-18,2780,2780,2780,2780,0
2019-12-19,2780,2780,2780,2780,0
2019-12-20,2780,2780,2780,2780,0
2019-12-23,2780,2780,2780,2780,0
2019-12-24,2780,2780,2780,2780,0
2019-12-26,2780,2780,2780,2780,0
2019-12-27,2780,2780,2780,2780,0
2019-12-30,2780,2780,2780,2780,0
2020-01-02,2780,2780,2780,2780,0
2020-01-03,2780,2780,2780,2780,0
2020-01-06,2780,2780,2780,2780,0
2020-01-07,2780,2780,2780,2780,0
2020-01-08,2780,2780,2780,2780,0
2020-01-09,2780,2780,2780,2780,0
2020-01-10,2780,2780,2780,2780,0
2020-01-13,2780,2780,2780,2780,0
2020-01-14,2780,2780,2780,2780,0
2020-01-15,2780,2780,2780,2780,0
2020-01-16,2780,2780,2780,2780,0
2020-01-17,2780,2780,2780,2780,0
2020-01-20,2780,2780,2780,2780,0
2020-01-21,2780,2780,2780,2780,0
2020-01-22,2780,2780,2780,2780,0
2020-01-23,2780,2780,2780,2780,0
2020-01-28,2780,2780,2780,2780,0
2020-01-29,2780,2780,2780,2780,0
2020-01-30,2780,2780,2780,2780,0
2020-01-31,2780,2780,2780,2780,0
2020-02-03,2780,2780,2780,2780,0
2020-02-04,2780,2780,2780,2780,0
2020-02-05,2780,2780,2780,2780,0
2020-02-06,2780,2780,2780,2780,0
2020-02-07,2780,2780,2780,2780,0
2020-02-10,2780,2780,2780,2780,0
2020-02-11,2780,2780,2780,2780,0
2020-02-12,2780,2780,2780,2780,0
2020-02-13,2780,2780,2780,2780,0
2020-02-14,2780,2780,2780,2780,0
2020-02-17,2780,2780,2780,2780,0
2020-02-18,2780,2780,2780,2780,0
2020-02-19,2780,2780,2780,2780,0
2020-02-20,2780,2780,2780,2780,0
2020-02-21,2780,2780,2780,2780,0
2020-02-24,2780,2780,2780,2780,0
2020-02-25,2780,2780,2780,2780,0
2020-02-26,2780,2780,2780,2780,0
2020-02-27,2780,2780,2780,2780,0
2020-02-28,2780,2780,2780,2780,0
2020-03-02,2780,2780,2780,2780,0
2020-03-03,2780,2780,2780,2780,0
2020-03-04,2780,2780,2780,2780,0
2020-03-05,2780,2780,2780,2780,0
2020-03-06,2780,2780,2780,2780,0
2020-03-09,2780,2780,2780,2780,0
2020-03-10,2780,2780,2780,2780,0
2020-03-11,2780,2780,2780,2780,0
2020-03-12,2780,2780,2780,2780,0
2020-03-13,2780,2780,2780,2780,0
2020-03-16,2780,2780,2780,2780,0
2020-03-17,2780,2780,2780,2780,0
2020-03-18,2780,2780,2780,2780,0
2020-03-19,2780,2780,2780,2780,0
2020-03-20,2780,2780,2780,2780,0
2020-03-23,2780,2780,2780,2780,0
2020-03-24,2780,2780,2780,2780,0
2020-03-25,2780,2780,2780,2780,0
2020-03-26,2780,2780,2780,2780,0
2020-03-27,2780,2780,2780,2780,0
2020-03-30,2780,2780,2780,2780,0
2020-03-31,2780,2780,2780,2780,0
2020-04-01,2780,2780,2780,2780,0
2020-04-02,2780,2780,2780,2780,0
2020-04-03,2780,2780,2780,2780,0
2020-04-06,2780,2780,2780,2780,0
2020-04-07,2780,2780,2780,2780,0
2020-04-08,2780,2780,2780,2780,0
2020-04-09,2780,2780,2780,2780,0
2020-04-10,2780,2780,2780,2780,0
2020-04-13,2780,2780,2780,2780,0
2020-04-14,2780,2780,2780,2780,0
2020-04-16,2780,2780,2780,2780,0
2020-04-17,2780,2780,2780,2780,0
2020-04-20,2780,2780,2780,2780,0
2020-04-21,2780,2780,2780,2780,0
2020-04-22,2780,2780,2780,2780,0
2020-04-23,2780,2780,2780,2780,0
2020-04-24,2780,2780,2780,2780,0
2020-04-27,2780,2780,2780,2780,0
2020-04-28,2780,2780,2780,2780,0
2020-04-29,2780,2780,2780,2780,0
2020-05-04,2780,2780,2780,2780,0
2020-05-06,2780,2780,2780,2780,0
2020-05-07,2780,2780,2780,2780,0
2020-05-08,2780,2780,2780,2780,0
2020-05-11,2780,2780,2780,2780,0
2020-05-12,2780,2780,2780,2780,0
2020-05-13,2780,2780,2780,2780,0
2020-05-14,2780,2780,2780,2780,0
2020-05-15,2780,2780,2780,2780,0
2020-05-18,2780,2780,2780,2780,0
2020-05-19,2780,2780,2780,2780,0
2020-05-20,2780,2780,2780,2780,0
2020-05-21,2780,2780,2780,2780,0
2020-05-22,2780,2780,2780,2780,0
2020-05-25,2780,2780,2780,2780,0
2020-05-26,2780,2780,2780,2780,0
2020-05-27,2780,2780,2780,2780,0
2020-05-28,2780,2780,2780,2780,0
2020-05-29,2780,2780,2780,2780,0
2020-06-01,2780,2780,2780,2780,0
2020-06-02,2780,2780,2780,2780,0
2020-06-03,2780,2780,2780,2780,0
2020-06-04,2780,2780,2780,2780,0
2020-06-05,2780,2780,2780,2780,0
2020-06-08,2780,2780,2780,2780,0
2020-06-09,2780,2780,2780,2780,0
