Date,Open,Close,High,Low,Volume
2018-11-26,2130,2130,2130,2130,0
2018-11-27,2130,2130,2130,2130,0
2018-11-28,2130,2130,2130,2130,0
2018-11-29,2130,2130,2130,2130,0
2018-11-30,2130,2130,2130,2130,0
2018-12-03,2130,2130,2130,2130,0
2018-12-04,2130,2130,2130,2130,0
2018-12-05,2130,2130,2130,2130,0
2018-12-06,2130,2130,2130,2130,0
2018-12-07,2130,2130,2130,2130,0
2018-12-10,2130,2130,2130,2130,0
2018-12-11,2130,2130,2130,2130,0
2018-12-12,2130,2130,2130,2130,0
2018-12-13,2130,2130,2130,2130,0
2018-12-14,2130,2130,2130,2130,0
2018-12-17,2130,2130,2130,2130,0
2018-12-18,2130,2130,2130,2130,0
2018-12-19,2130,2130,2130,2130,0
2018-12-20,2130,2130,2130,2130,0
2018-12-21,2130,2130,2130,2130,0
2018-12-24,2130,2130,2130,2130,0
2018-12-26,2130,2130,2130,2130,0
2018-12-27,2130,2130,2130,2130,0
2018-12-28,2130,2130,2130,2130,0
2019-01-02,2130,2130,2130,2130,0
2019-01-03,2130,2130,2130,2130,0
2019-01-04,2130,2130,2130,2130,0
2019-01-07,2130,2130,2130,2130,0
2019-01-08,2130,2130,2130,2130,0
2019-01-09,2130,2130,2130,2130,0
2019-01-10,2130,2130,2130,2130,0
2019-01-11,2130,2130,2130,2130,0
2019-01-14,2130,2130,2130,2130,0
2019-01-15,2130,2130,2130,2130,0
2019-01-16,2130,2130,2130,2130,0
2019-01-17,2130,2130,2130,2130,0
2019-01-18,2130,2130,2130,2130,0
2019-01-21,2130,2130,2130,2130,0
2019-01-22,2130,2130,2130,2130,0
2019-01-23,2130,2130,2130,2130,0
2019-01-24,2130,2130,2130,2130,0
2019-01-25,2130,2130,2130,2130,0
2019-01-28,2130,2130,2130,2130,0
2019-01-29,2130,2130,2130,2130,0
2019-01-30,2130,2130,2130,2130,0
2019-01-31,2130,2130,2130,2130,0
2019-02-01,2130,2130,2130,2130,0
2019-02-07,2130,2130,2130,2130,0
2019-02-08,2130,2130,2130,2130,0
2019-02-11,2130,2130,2130,2130,0
2019-02-12,2130,2130,2130,2130,0
2019-02-13,2130,2130,2130,2130,0
2019-02-14,2130,2130,2130,2130,0
2019-02-15,2130,2130,2130,2130,0
2019-02-18,2130,2130,2130,2130,0
2019-02-19,2130,2130,2130,2130,0
2019-02-20,2130,2130,2130,2130,0
2019-02-21,2130,2130,2130,2130,0
2019-02-22,2130,2130,2130,2130,0
2019-02-25,2130,2130,2130,2130,0
2019-02-26,2130,2130,2130,2130,0
2019-02-27,2130,2130,2130,2130,0
2019-02-28,2130,2130,2130,2130,0
2019-03-04,2130,2130,2130,2130,0
2019-03-05,2130,2130,2130,2130,0
2019-03-06,2130,2130,2130,2130,0
2019-03-07,2130,2130,2130,2130,0
2019-03-08,2130,2130,2130,2130,0
2019-03-11,2130,2130,2130,2130,0
2019-03-12,2130,2130,2130,2130,0
2019-03-13,2130,2130,2130,2130,0
2019-03-14,2130,2130,2130,2130,0
2019-03-15,2130,2130,2130,2130,0
2019-03-18,2130,2130,2130,2130,0
2019-03-19,2130,2130,2130,2130,0
2019-03-20,2130,2130,2130,2130,0
2019-03-21,2130,2130,2130,2130,0
2019-03-22,2130,2130,2130,2130,0
2019-03-25,2130,2130,2130,2130,0
2019-03-26,2130,2130,2130,2130,0
2019-03-27,2130,2130,2130,2130,0
2019-03-28,2130,2130,2130,2130,0
2019-03-29,2130,2130,2130,2130,0
2019-04-01,2130,2130,2130,2130,0
2019-04-02,2130,2130,2130,2130,0
2019-04-03,2130,2130,2130,2130,0
2019-04-04,2130,2130,2130,2130,0
2019-04-05,2130,2130,2130,2130,0
2019-04-08,2130,2130,2130,2130,0
2019-04-09,2130,2130,2130,2130,0
2019-04-10,2130,2130,2130,2130,0
2019-04-11,2130,2130,2130,2130,0
2019-04-12,2130,2130,2130,2130,0
2019-04-15,2130,2130,2130,2130,0
2019-04-16,2130,2130,2130,2130,0
2019-04-17,2130,2130,2130,2130,0
2019-04-18,2130,2130,2130,2130,0
2019-04-19,2130,2130,2130,2130,0
2019-04-22,2130,2130,2130,2130,0
2019-04-23,2130,2130,2130,2130,0
2019-04-24,2130,2130,2130,2130,0
2019-04-25,2130,2130,2130,2130,0
2019-04-26,2130,2130,2130,2130,0
2019-04-29,2130,2130,2130,2130,0
2019-04-30,2130,2130,2130,2130,0
2019-05-02,2130,2130,2130,2130,0
2019-05-03,2130,2130,2130,2130,0
2019-05-07,2130,2130,2130,2130,0
2019-05-08,2130,2130,2130,2130,0
2019-05-09,2130,2130,2130,2130,0
2019-05-10,2130,2130,2130,2130,0
2019-05-13,2130,2130,2130,2130,0
2019-05-14,2130,2130,2130,2130,0
2019-05-15,2130,2130,2130,2130,0
2019-05-16,2130,2130,2130,2130,0
2019-05-17,2130,2130,2130,2130,0
2019-05-20,2130,2130,2130,2130,0
2019-05-21,2130,2130,2130,2130,0
2019-05-22,2130,2130,2130,2130,0
2019-05-23,2130,2130,2130,2130,0
2019-05-24,2130,2130,2130,2130,0
2019-05-27,2130,2130,2130,2130,0
2019-05-28,2130,2130,2130,2130,0
2019-05-29,2130,2130,2130,2130,0
2019-05-30,2130,2130,2130,2130,0
2019-05-31,2130,2130,2130,2130,0
2019-06-03,2130,2130,2130,2130,0
2019-06-04,2130,2130,2130,2130,0
2019-06-05,2130,2130,2130,2130,0
2019-06-07,2130,2130,2130,2130,0
2019-06-10,2130,2130,2130,2130,0
2019-06-11,2130,2130,2130,2130,0
2019-06-12,2130,2130,2130,2130,0
2019-06-13,2130,2130,2130,2130,0
