Date,Open,High,Low,Close,Volume
2021-05-21,2075,2120,2045,2100,9331212
2021-05-24,2110,2290,2110,2205,3965268
2021-05-25,2210,2270,2160,2205,1431315
2021-05-26,2245,2245,2170,2195,1147157
2021-05-27,2210,2300,2200,2270,1602216
2021-05-28,2295,2445,2270,2390,2983295
2021-05-31,2500,2570,2315,2470,8108065
2021-06-01,2490,2540,2230,2270,5365638
2021-06-02,2285,2285,2140,2180,2004736
2021-06-03,2220,2225,2165,2195,643565
2021-06-04,2180,2225,2160,2170,544700
2021-06-07,2160,2195,2120,2135,732138
2021-06-08,2125,2160,2100,2155,602717
2021-06-09,2155,2175,2140,2160,253993
2021-06-10,2160,2210,2155,2200,389095
2021-06-11,2200,2205,2170,2175,243754
2021-06-14,2175,2190,2155,2170,138711
2021-06-15,2170,2175,2150,2160,215867
2021-06-16,2160,2160,2145,2160,192383
2021-06-17,2170,2205,2150,2195,445736
2021-06-18,2195,2200,2175,2175,219479
2021-06-21,2180,2275,2175,2210,901324
2021-06-22,2190,2210,2180,2185,218964
2021-06-23,2185,2190,2170,2170,150184
2021-06-24,2200,2215,2175,2195,239514
2021-06-25,2195,2200,2175,2180,300686
2021-06-28,2165,2180,2165,2175,140852
2021-06-29,2175,2175,2155,2165,257791
2021-06-30,2160,2170,2155,2170,152888
2021-07-01,2165,2170,2160,2170,96131
2021-07-02,2170,2180,2165,2170,176689
2021-07-05,2170,2210,2165,2200,277202
2021-07-06,2205,2205,2185,2190,225472
2021-07-07,2190,2400,2170,2230,6171951
2021-07-08,2245,2260,2185,2195,797493
2021-07-09,2195,2220,2180,2185,652417
2021-07-12,2185,2245,2185,2220,460837
2021-07-13,2210,2320,2200,2290,1904248
2021-07-14,2300,2320,2260,2300,980102
2021-07-15,2290,2315,2235,2240,1041809
2021-07-16,2250,2250,2215,2230,467411
2021-07-19,2230,2245,2215,2230,462342
2021-07-20,2225,2235,2210,2210,393690
2021-07-21,2210,2225,2200,2210,327839
2021-07-22,2200,2225,2190,2220,279537
2021-07-23,2220,2240,2200,2225,188190
2021-07-26,2220,2250,2220,2245,230557
2021-07-27,2245,2275,2220,2250,552502
2021-07-28,2260,2260,2225,2255,233545
2021-07-29,2250,2250,2230,2235,226639
2021-07-30,2220,2245,2220,2225,190421
2021-08-02,2220,2235,2210,2225,161906
2021-08-03,2225,2240,2210,2225,286068
2021-08-04,2220,2240,2215,2230,304541
2021-08-05,2240,2245,2220,2230,190086
2021-08-06,2220,2255,2215,2235,308315
2021-08-09,2230,2240,2215,2220,210077
2021-08-10,2220,2225,2210,2210,360528
2021-08-11,2205,2225,2205,2215,181245
2021-08-12,2215,2225,2210,2220,160644
2021-08-13,2220,2220,2200,2220,281665
2021-08-17,2220,2220,2200,2205,234831
2021-08-18,2210,2215,2195,2210,331028
2021-08-19,2200,2210,2185,2195,429944
2021-08-20,2205,2205,2180,2190,400490
2021-08-23,2200,2205,2185,2200,146028
2021-08-24,2205,2210,2200,2205,159728
2021-08-25,2205,2240,2205,2230,396851
2021-08-26,2225,2265,2210,2230,488395
2021-08-27,2235,2250,2230,2245,306193
2021-08-30,2245,2245,2215,2225,199431
2021-08-31,2235,2235,2215,2220,144921
2021-09-01,2220,2230,2210,2225,132410
2021-09-02,2220,2230,2215,2220,98353
2021-09-03,2220,2225,2215,2225,102153
2021-09-06,2225,2235,2210,2215,95444
2021-09-07,2230,2230,2210,2220,147172
2021-09-08,2215,2225,2215,2215,75332
2021-09-09,2210,2240,2205,2220,203829
2021-09-10,2230,2230,2210,2215,71813
2021-09-13,2215,2215,2185,2210,173452
2021-09-14,2205,2210,2185,2200,272882
2021-09-15,2200,2200,2185,2200,110875
2021-09-16,2200,2200,2180,2185,53518
2021-09-17,2200,2200,2180,2180,73503
2021-09-23,2175,2190,2165,2180,159190
2021-09-24,2180,2190,2170,2185,98507
2021-09-27,2180,2180,2155,2170,204605
2021-09-28,2160,2165,2145,2145,227932
2021-09-29,2145,2150,2130,2150,212925
2021-09-30,2160,2160,2150,2160,76878
2021-10-01,2145,2160,2140,2155,126850
2021-10-05,2130,2140,2100,2110,286264
2021-10-06,2120,2120,2090,2095,167089
2021-10-07,2095,2110,2085,2085,170223
2021-10-08,2085,2100,2085,2090,59363
2021-10-12,2110,2110,2080,2090,44932
2021-10-13,2085,2105,2085,2105,59343
2021-10-14,2105,2125,2105,2125,15957
2021-10-15,2125,2135,2110,2135,42883
2021-10-18,2135,2180,2085,2110,151012
2021-10-19,2110,2115,2080,2115,125501
2021-10-20,2115,2115,2090,2095,57972
2021-10-21,2100,2105,2090,2090,55533
2021-10-22,2095,2105,2090,2095,88504
2021-10-25,2105,2105,2090,2095,41968
2021-10-26,2095,2120,2080,2095,213685
2021-10-27,2100,2115,2090,2110,121263
2021-10-28,2100,2105,2090,2095,29510
2021-10-29,2095,2100,2085,2095,92695
2021-11-01,2090,2100,2080,2095,171711
2021-11-02,2085,2105,2080,2100,77918
2021-11-03,2100,2105,2090,2100,70850
2021-11-04,2100,2100,2085,2085,115537
2021-11-05,2095,2105,2085,2100,89955
2021-11-08,2095,2100,2085,2090,50653
2021-11-09,2095,2100,2085,2100,123873
2021-11-10,2100,2105,2090,2090,103702
2021-11-11,2095,2100,2085,2090,48963
2021-11-12,2095,2100,2085,2095,40669
2021-11-15,2095,2095,2085,2085,59865
2021-11-16,2085,2095,2080,2095,68846
2021-11-17,2095,2095,2080,2090,73167
2021-11-18,2090,2095,2080,2090,83046
2021-11-19,2085,2095,2080,2085,97608
2021-11-22,2085,2095,2075,2085,137125
2021-11-23,2080,2110,2075,2090,102987
2021-11-24,2085,2095,2080,2085,51363
2021-11-25,2085,2095,2080,2095,68678
2021-11-26,2080,2090,2080,2085,43989
2021-11-29,2075,2090,2075,2085,92325
2021-11-30,2085,2090,2070,2075,114619
2021-12-01,2070,2080,2065,2075,89776
2021-12-02,2070,2085,2070,2085,66168
2021-12-03,2090,2090,2065,2075,37558
2021-12-06,2070,2075,2060,2075,250856
2021-12-07,2070,2075,2055,2070,218104
2021-12-08,2070,2075,2065,2070,111452
2021-12-09,2070,2080,2060,2080,125417
2021-12-10,2070,2080,2065,2080,63844
2021-12-13,2070,2080,2070,2080,67374
2021-12-14,2070,2080,2065,2075,206374
2021-12-15,2075,2080,2060,2080,75562
2021-12-16,2070,2080,2060,2065,422705
2021-12-17,2075,2075,2060,2070,70044
2021-12-20,2065,2075,2060,2070,98589
2021-12-21,2065,2070,2060,2070,187811
2021-12-22,2065,2070,2050,2065,302388
2021-12-23,2060,2070,2055,2070,185958
2021-12-24,2070,2070,2060,2070,144946
2021-12-27,2065,2070,2060,2060,77362
2021-12-28,2060,2065,2060,2060,76907
2021-12-29,2065,2065,2060,2065,45634
2021-12-30,2065,2070,2055,2065,111624
2022-01-03,2065,2070,2045,2070,248024
2022-01-04,2075,2075,2060,2070,84036
2022-01-05,2065,2100,2065,2085,103814
2022-01-06,2075,2090,2070,2085,77909
2022-01-07,2085,2085,2065,2080,100759
2022-01-10,2075,2080,2065,2080,57866
2022-01-11,2080,2095,2065,2090,83611
2022-01-12,2085,2110,2075,2100,54524
2022-01-13,2100,2105,2070,2080,210731
2022-01-14,2080,2085,2065,2080,179435
2022-01-17,2080,2080,2060,2065,314101
2022-01-18,2070,2090,2060,2085,211379
2022-01-19,2080,2090,2075,2085,107411
2022-01-20,2080,2100,2080,2080,44796
2022-01-21,2090,2090,2080,2085,136533
2022-01-24,2090,2095,2085,2090,113824
2022-01-25,2090,2090,2080,2085,221183
2022-01-26,2090,2100,2085,2085,96334
2022-01-27,2080,2085,2075,2085,35378
2022-01-28,2085,2090,2080,2090,58382
2022-02-03,2090,2095,2085,2090,57971
2022-02-04,2095,2095,2080,2085,31135
2022-02-07,2090,2100,2075,2100,125501
2022-02-08,2100,2105,2085,2090,56483
2022-02-09,2090,2100,2085,2100,27520
2022-02-10,2100,2145,2085,2145,155408
2022-02-11,2145,2145,2115,2125,50334
2022-02-14,2125,2130,2095,2120,263707
2022-02-15,2100,2130,2100,2105,38764
2022-02-16,2095,2115,2095,2110,8043
2022-02-17,2100,2115,2095,2095,32519
2022-02-18,2085,2105,2085,2105,22470
2022-02-21,2105,2105,2085,2100,44043
2022-02-22,2085,2100,2075,2090,40578
2022-02-23,2090,2095,2080,2090,10770
2022-02-24,2090,2090,2070,2085,65498
