Date,Open,High,Low,Close,Volume
2021-06-18,22200,23000,17900,18050,5793916
2021-06-21,17800,18500,17050,17100,1018874
2021-06-22,17350,17450,16500,16800,696580
2021-06-23,16850,17550,16600,16850,534476
2021-06-24,17150,17300,16550,16600,323728
2021-06-25,16700,17650,16600,17050,711072
2021-06-28,17250,17450,16750,16900,452960
2021-06-29,16950,17150,16400,16450,278399
2021-06-30,16550,16550,16100,16250,185096
2021-07-01,16200,16600,16100,16300,162507
2021-07-02,16300,16350,15850,16000,239627
2021-07-05,16000,16000,15750,15950,115506
2021-07-06,16000,16450,15950,16100,173553
2021-07-07,16150,16250,16000,16000,87493
2021-07-08,16050,16200,15750,15750,144522
2021-07-09,15800,15800,15150,15350,183482
2021-07-12,15400,15550,15150,15350,64030
2021-07-13,15400,15600,15300,15500,77855
2021-07-14,15500,16100,15350,15950,125775
2021-07-15,16000,16050,15700,15750,113601
2021-07-16,15700,16350,15550,16050,188304
2021-07-19,16000,16200,15700,15800,131181
2021-07-20,15600,17150,15450,16750,375252
2021-07-21,17300,21750,16950,21750,6946918
2021-07-22,23250,26950,23100,24900,11861819
2021-07-23,25500,28700,24600,28500,4637299
2021-07-26,30150,32750,28100,29000,5864139
2021-07-27,29000,29350,24350,25500,1611466
2021-07-28,25400,26550,23450,24500,1351022
2021-07-29,25200,26500,23750,25950,1739342
2021-07-30,25950,25950,24200,24800,534024
2021-08-02,25300,25600,23500,25550,591535
2021-08-03,25300,27200,24450,26600,1150653
2021-08-04,26200,27750,25500,27050,1273800
2021-08-05,27350,28100,26600,28100,718306
2021-08-06,27900,28900,27500,28650,715803
2021-08-09,28650,29800,28200,29100,568229
2021-08-10,28650,29200,27150,29100,955120
2021-08-11,30450,30900,27950,29500,1286842
2021-08-12,29500,30750,27900,28500,714933
2021-08-13,28000,28000,25800,26000,659237
2021-08-17,25800,27850,23550,26450,1036103
2021-08-18,25500,26050,24550,25150,522022
2021-08-19,24650,24950,22600,22600,580419
2021-08-20,23050,23700,22000,22650,324688
2021-08-23,23000,24050,22500,22650,366571
2021-08-24,23350,25650,21350,22300,1167783
2021-08-25,22300,23300,21650,21800,430762
2021-08-26,22100,23050,22000,22250,478686
2021-08-27,22150,22900,21600,22050,364492
2021-08-30,22300,22300,20300,20450,448462
2021-08-31,20750,21250,20150,20750,468979
2021-09-01,21200,21350,20650,21000,405542
2021-09-02,19700,19900,19050,19100,565342
2021-09-03,19250,19550,18800,19200,252924
2021-09-06,19350,19450,18800,19200,158544
2021-09-07,19250,20250,19050,20150,295268
2021-09-08,20150,20450,19400,19400,198069
2021-09-09,19050,19500,18250,18650,222756
2021-09-10,18500,19500,18450,18750,211060
2021-09-13,18700,18700,17650,17850,174315
2021-09-14,18100,18550,17900,18400,113372
2021-09-15,18400,23900,18200,23900,2767684
2021-09-16,25850,26550,24000,24050,5686335
2021-09-17,23700,24350,22550,23800,1001209
2021-09-23,23250,23350,21500,21500,618170
2021-09-24,21500,22350,20750,21050,501596
2021-09-27,21100,22400,21000,22400,674408
2021-09-28,22100,22350,21400,21750,397695
2021-09-29,20600,21200,19950,20850,416323
2021-09-30,21600,23700,20950,21000,1787503
2021-10-01,20900,24150,20700,22800,3028654
2021-10-05,23100,24400,22250,23250,1550369
2021-10-06,23250,24600,22450,24600,1972555
2021-10-07,24400,25550,24050,24850,1574110
2021-10-08,24500,24850,22550,22850,856947
2021-10-12,22750,23150,22100,22400,569257
2021-10-13,22850,24550,22850,24100,1610488
2021-10-14,24250,25200,23750,24950,1165796
2021-10-15,25050,25450,24200,24650,946708
2021-10-18,24700,25500,24250,24800,684996
2021-10-19,25050,25300,24000,24250,350057
2021-10-20,24350,24900,22950,22950,565880
2021-10-21,22950,23100,22050,22500,381212
2021-10-22,22400,24400,22400,24200,914024
2021-10-25,24400,25600,24050,24100,858539
2021-10-26,23850,26150,23300,26150,1686977
2021-10-27,25750,27900,25600,26200,3280484
2021-10-28,26500,27550,24950,25450,1468877
2021-10-29,25400,25800,24300,25000,430469
2021-11-01,25000,26600,24850,26600,772884
2021-11-02,26350,26900,25600,25800,416226
2021-11-03,25700,27350,25600,26050,899217
2021-11-04,26400,26900,25650,26900,767386
2021-11-05,27400,27400,25450,25550,663376
2021-11-08,25600,25600,23350,24950,367120
2021-11-09,25300,25800,24500,25400,345864
2021-11-10,25400,26400,24600,24600,672890
2021-11-11,24250,24950,23350,23700,396298
2021-11-12,23700,24650,22900,23000,389693
2021-11-15,22800,23050,21200,22750,480536
2021-11-16,22950,24650,22900,24000,573270
2021-11-17,24400,30900,24400,28500,5852604
2021-11-18,28300,29250,27000,28650,1879937
2021-11-19,28050,28550,26600,26600,769431
2021-11-22,27000,34550,25800,33950,9430985
2021-11-23,33100,33850,31350,33550,3304176
2021-11-24,32450,33350,29250,29800,2005148
2021-11-25,30400,30850,28250,29200,1745328
2021-11-26,29350,30150,27500,28000,1516431
2021-11-29,26500,28050,25650,26450,943053
2021-11-30,26950,27750,25050,25900,910060
2021-12-01,26100,26850,25100,26650,496792
2021-12-02,25700,26150,24500,24700,502551
2021-12-03,25100,27650,25050,26450,1596083
2021-12-06,25950,27450,25400,27450,538778
2021-12-07,27200,27750,25800,25950,504907
2021-12-08,26400,26650,25350,25950,342166
2021-12-09,26400,26950,25950,26000,399801
2021-12-10,25550,26050,25350,25500,192822
2021-12-13,25750,26450,25500,26100,282798
2021-12-14,26000,26750,25550,26600,324173
2021-12-15,26500,27450,25600,27400,433910
2021-12-16,27050,29750,26750,27350,1868386
2021-12-17,26750,27050,26300,26950,280070
2021-12-20,26500,27450,25700,25750,279982
2021-12-21,25750,25850,24650,25050,223936
2021-12-22,25600,26450,25350,25600,321417
2021-12-23,25750,26600,25600,25650,301772
2021-12-24,25900,25900,25150,25350,130293
2021-12-27,25600,26500,25550,25550,280467
2021-12-28,25800,25850,24750,25000,217440
2021-12-29,25250,27000,25050,26200,725596
2021-12-30,26450,26700,26000,26500,244208
2022-01-03,26850,27150,26450,26800,230829
2022-01-04,26800,26800,25900,26150,217705
2022-01-05,26400,26950,25100,25350,312894
2022-01-06,24600,25250,23900,23900,223266
2022-01-07,24300,25550,24200,24600,231096
2022-01-10,24100,24350,23250,24150,128649
2022-01-11,24150,24150,22500,22800,205383
2022-01-12,23300,23300,22600,22750,82867
2022-01-13,23100,23100,21850,22050,163578
2022-01-14,21650,22000,21300,21700,114090
2022-01-17,21700,22250,21500,22050,92038
2022-01-18,21850,22600,21700,21850,76734
2022-01-19,23750,26100,22850,23250,3097344
2022-01-20,23150,24850,23150,24200,714197
2022-01-21,23900,24450,23000,23050,299205
2022-01-24,22450,22550,21350,21650,208210
2022-01-25,21750,21900,19800,20700,247788
2022-01-26,20600,21050,20150,20550,114447
2022-01-27,20600,20600,19150,19150,152707
2022-01-28,19250,19550,18750,18900,175665
2022-02-03,19450,20050,19400,19500,118448
2022-02-04,19150,20150,19050,20050,109491
2022-02-07,20100,20300,19600,20150,54777
2022-02-08,20150,20950,19950,20950,145785
2022-02-09,21250,21450,20350,20450,256771
2022-02-10,20650,21100,19800,19900,161028
2022-02-11,19600,19600,18950,19000,141169
2022-02-14,18450,18500,17200,17200,194043
2022-02-15,17200,19950,17050,18100,413411
2022-02-16,18450,19400,18450,18700,121322
2022-02-17,18450,19400,18000,18650,130843
2022-02-18,18150,18900,18000,18850,53267
2022-02-21,18500,19000,18400,18900,35716
2022-02-22,18250,19000,18250,18550,45204
2022-02-23,18550,20350,18550,20150,136095
2022-02-24,19800,20300,18700,18950,158985
