Date,Open,Close,High,Low,Volume
2016-12-23,3815,3815,3815,3815,0
2016-12-26,4385,4385,4385,4385,0
2016-12-27,4385,4385,4385,4385,0
2016-12-28,4385,4385,4385,4385,0
2016-12-29,4385,4385,4385,4385,0
2017-01-02,4385,4385,4385,4385,0
2017-01-03,4385,4385,4385,4385,0
2017-01-04,4385,4385,4385,4385,0
2017-01-05,4385,4385,4385,4385,0
2017-01-06,4385,4385,4385,4385,0
2017-01-09,4385,4385,4385,4385,0
2017-01-10,4385,4385,4385,4385,0
2017-01-11,4385,4385,4385,4385,0
2017-01-12,4385,4385,4385,4385,0
2017-01-13,4385,4385,4385,4385,0
2017-01-16,4385,4385,4385,4385,0
2017-01-17,4385,4385,4385,4385,0
2017-01-18,4385,4385,4385,4385,0
2017-01-19,4385,4385,4385,4385,0
2017-01-20,4385,4385,4385,4385,0
2017-01-23,4385,4385,4385,4385,0
2017-01-24,4385,4385,4385,4385,0
2017-01-25,4385,4385,4385,4385,0
2017-01-26,4385,4385,4385,4385,0
2017-01-31,4385,4385,4385,4385,0
2017-02-01,4385,4385,4385,4385,0
2017-02-02,4385,4385,4385,4385,0
2017-02-03,4385,4385,4385,4385,0
2017-02-06,4385,4385,4385,4385,0
2017-02-07,4385,4385,4385,4385,0
2017-02-08,4385,4385,4385,4385,0
2017-02-09,4385,4385,4385,4385,0
2017-02-10,4385,4385,4385,4385,0
2017-02-13,4385,4385,4385,4385,0
2017-02-14,4385,4385,4385,4385,0
2017-02-15,4385,4385,4385,4385,0
2017-02-16,4385,4385,4385,4385,0
2017-02-17,4385,4385,4385,4385,0
2017-02-20,4385,4385,4385,4385,0
2017-02-21,4385,4385,4385,4385,0
2017-02-22,4385,4385,4385,4385,0
2017-02-23,4385,4385,4385,4385,0
2017-02-24,4385,4385,4385,4385,0
2017-02-27,4385,4385,4385,4385,0
2017-02-28,4385,4385,4385,4385,0
2017-03-02,4385,4385,4385,4385,0
2017-03-03,4385,4385,4385,4385,0
2017-03-06,4385,4385,4385,4385,0
2017-03-07,4385,4385,4385,4385,0
2017-03-08,4385,4385,4385,4385,0
2017-03-09,4385,4385,4385,4385,0
2017-03-10,4385,4385,4385,4385,0
2017-03-13,4385,4385,4385,4385,0
2017-03-14,4385,4385,4385,4385,0
2017-03-15,4385,4385,4385,4385,0
2017-03-16,4385,4385,4385,4385,0
2017-03-17,4385,4385,4385,4385,0
2017-03-20,4385,4385,4385,4385,0
2017-03-21,4385,4385,4385,4385,0
2017-03-22,4385,4385,4385,4385,0
2017-03-23,4385,4385,4385,4385,0
2017-03-24,4385,4385,4385,4385,0
2017-03-27,4385,4385,4385,4385,0
2017-03-28,4385,4385,4385,4385,0
2017-03-29,4385,4385,4385,4385,0
2017-03-30,4385,4385,4385,4385,0
2017-03-31,4385,4385,4385,4385,0
2017-04-03,4385,4385,4385,4385,0
2017-04-04,4385,4385,4385,4385,0
2017-04-05,4385,4385,4385,4385,0
2017-04-06,4385,4385,4385,4385,0
2017-04-07,4385,4385,4385,4385,0
2017-04-10,4385,4385,4385,4385,0
2017-04-11,4385,4385,4385,4385,0
2017-04-12,4385,4385,4385,4385,0
2017-04-13,4385,4385,4385,4385,0
2017-04-14,4385,4385,4385,4385,0
2017-04-17,4385,4385,4385,4385,0
2017-04-18,4385,4385,4385,4385,0
2017-04-19,4385,4385,4385,4385,0
2017-04-20,4385,4385,4385,4385,0
2017-04-21,4385,4385,4385,4385,0
2017-04-24,4385,4385,4385,4385,0
2017-04-25,4385,4385,4385,4385,0
2017-04-26,4385,4385,4385,4385,0
2017-04-27,4385,4385,4385,4385,0
2017-04-28,4385,4385,4385,4385,0
2017-05-02,4385,4385,4385,4385,0
2017-05-04,4385,4385,4385,4385,0
2017-05-08,4385,4385,4385,4385,0
2017-05-10,4385,4385,4385,4385,0
2017-05-11,4385,4385,4385,4385,0
2017-05-12,4385,4385,4385,4385,0
2017-05-15,4385,4385,4385,4385,0
2017-05-16,4385,4385,4385,4385,0
2017-05-17,4385,4385,4385,4385,0
2017-05-18,4385,4385,4385,4385,0
2017-05-19,4385,4385,4385,4385,0
2017-05-22,4385,4385,4385,4385,0
2017-05-23,4385,4385,4385,4385,0
2017-05-24,4385,4385,4385,4385,0
2017-05-25,4385,4385,4385,4385,0
2017-05-26,4385,4385,4385,4385,0
2017-05-29,4385,4385,4385,4385,0
2017-05-30,4385,4385,4385,4385,0
2017-05-31,4385,4385,4385,4385,0
2017-06-01,4385,4385,4385,4385,0
2017-06-02,4385,4385,4385,4385,0
2017-06-05,4385,4385,4385,4385,0
2017-06-07,4385,4385,4385,4385,0
2017-06-08,4385,4385,4385,4385,0
2017-06-09,4385,4385,4385,4385,0
2017-06-12,4385,4385,4385,4385,0
2017-06-13,4385,4385,4385,4385,0
2017-06-14,4385,4385,4385,4385,0
2017-06-15,4385,4385,4385,4385,0
2017-06-16,4385,4385,4385,4385,0
2017-06-19,4385,4385,4385,4385,0
2017-06-20,4385,4385,4385,4385,0
2017-06-21,4385,4385,4385,4385,0
2017-06-22,4385,4385,4385,4385,0
2017-06-23,4385,4385,4385,4385,0
2017-06-26,4385,4385,4385,4385,0
2017-06-27,4385,4385,4385,4385,0
2017-06-28,4385,4385,4385,4385,0
2017-06-29,4385,4385,4385,4385,0
2017-06-30,4385,4385,4385,4385,0
2017-07-03,4385,4385,4385,4385,0
2017-07-04,4385,4385,4385,4385,0
2017-07-05,4385,4385,4385,4385,0
2017-07-06,4385,4385,4385,4385,0
2017-07-07,4385,4385,4385,4385,0
2017-07-10,4385,4385,4385,4385,0
2017-07-11,4385,4385,4385,4385,0
2017-07-12,4385,4385,4385,4385,0
2017-07-13,4385,4385,4385,4385,0
2017-07-14,4385,4385,4385,4385,0
2017-07-17,4385,4385,4385,4385,0
2017-07-18,4385,4385,4385,4385,0
2017-07-19,4385,4385,4385,4385,0
2017-07-20,4385,4385,4385,4385,0
2017-07-21,4385,4385,4385,4385,0
2017-07-24,4385,4385,4385,4385,0
2017-07-25,4385,4385,4385,4385,0
2017-07-26,4385,4385,4385,4385,0
2017-07-27,4385,4385,4385,4385,0
2017-07-28,4385,4385,4385,4385,0
2017-07-31,4385,4385,4385,4385,0
